iter	Logloss
0	0.5891322162
1	0.4985670077
2	0.4279914325
3	0.3578732823
4	0.313545708
5	0.2698059115
6	0.2347216107
7	0.2079915211
8	0.1822722154
9	0.1610959479
10	0.145068673
11	0.1320701495
12	0.1190017327
13	0.1104050279
14	0.1008685596
15	0.09440788664
16	0.08772618659
17	0.08176261377
18	0.07633083843
19	0.07196361007
20	0.06886560369
21	0.06487618137
22	0.0626055313
23	0.05937862158
24	0.05654501946
25	0.05473194535
26	0.05250724708
27	0.05110260177
28	0.0495806613
29	0.04845085146
30	0.04721901405
31	0.04600973544
32	0.04482254327
33	0.04403426441
34	0.04304418258
35	0.04235300251
36	0.04163018296
37	0.04094629423
38	0.0403984931
39	0.03970568801
40	0.03916483589
41	0.03865385741
42	0.03811255944
43	0.03767932811
44	0.03726271303
45	0.03676486033
46	0.03639843431
47	0.03603673979
48	0.03573029464
49	0.03543227291
50	0.03516204412
51	0.03491918082
52	0.0344874989
53	0.03404675931
54	0.03364576048
55	0.03323635283
56	0.03295317154
57	0.03275482859
58	0.03255488983
59	0.03234391286
60	0.03212160748
61	0.03195394467
62	0.0316558032
63	0.03149095115
64	0.03133881343
65	0.03115098193
66	0.0310043305
67	0.0308494631
68	0.03067372127
69	0.03053993609
70	0.03036312982
71	0.03018644774
72	0.03006762544
73	0.02993536932
74	0.02981994577
75	0.02965437022
76	0.0295623566
77	0.02944338648
78	0.02935406408
79	0.02926570938
80	0.02914336329
81	0.02901908172
82	0.02880405453
83	0.02865721468
84	0.02854022358
85	0.0284528226
86	0.02833772048
87	0.02826207782
88	0.02819224699
89	0.02811675204
90	0.02803168984
91	0.02793065231
92	0.02783835723
93	0.02776811439
94	0.02769220378
95	0.0276128275
96	0.02750234463
97	0.02742744305
98	0.02736931255
99	0.02729602202
100	0.02719361635
101	0.02711144067
102	0.02704979667
103	0.02699247957
104	0.02692421013
105	0.02687420643
106	0.02680479041
107	0.02673286213
108	0.02667071435
109	0.02659495531
110	0.02654742526
111	0.02645963243
112	0.02642402506
113	0.0263667556
114	0.02628165411
115	0.02620807065
116	0.02618181749
117	0.02610644334
118	0.02605188713
119	0.02600426811
120	0.02593829322
121	0.02588418404
122	0.0258197151
123	0.02577750786
124	0.02573617013
125	0.02566587594
126	0.02562088817
127	0.02557001571
128	0.02554100742
129	0.02549322765
130	0.02543881337
131	0.02538601676
132	0.02532585773
133	0.02527514735
134	0.02523804593
135	0.02518056969
136	0.02506926199
137	0.02503644779
138	0.02501178257
139	0.02496104183
140	0.02495456688
141	0.02489410727
142	0.02484531387
143	0.02482094052
144	0.02479369318
145	0.02476266284
146	0.02476266212
147	0.02470947826
148	0.02462618215
149	0.02462617144
150	0.02459445329
151	0.02455819971
152	0.0245142798
153	0.02447094227
154	0.02443741442
155	0.02439007822
156	0.02434732325
157	0.024322878
158	0.02428136609
159	0.0242174361
160	0.02417541409
161	0.02412952422
162	0.02408488419
163	0.02408488419
164	0.02404380445
165	0.02402721659
166	0.02400931417
167	0.02398302242
168	0.02393854202
169	0.02388785709
170	0.02388785281
171	0.02387481309
172	0.02384604302
173	0.02381930389
174	0.02378791581
175	0.02375353349
176	0.02367854207
177	0.02365925912
178	0.02363862666
179	0.02361628636
180	0.02359503809
181	0.02352864081
182	0.0235041858
183	0.02347295019
184	0.02344717057
185	0.02343323697
186	0.02340207221
187	0.02338023279
188	0.02338019258
189	0.02335797505
190	0.02332833026
191	0.02328890609
192	0.02326465141
193	0.02324128719
194	0.02319580379
195	0.0231733616
196	0.02315149085
197	0.02310646804
198	0.02302147187
199	0.02299392954
200	0.02296055651
201	0.02291580839
202	0.02288552991
203	0.02284563371
204	0.02282963007
205	0.02282040943
206	0.0228004504
207	0.02279678845
208	0.02279677295
209	0.02279677295
210	0.02279677229
211	0.02279676028
212	0.02276061148
213	0.02276059724
214	0.02276059929
215	0.02276059482
216	0.02265677711
217	0.02263140268
218	0.02263140055
219	0.0226019261
220	0.02257006671
221	0.02257005426
222	0.02253465261
223	0.02253465183
224	0.02252529502
225	0.0225252896
226	0.02252529796
227	0.02252530541
228	0.02249218376
229	0.02249214219
230	0.02249211952
231	0.02249212318
232	0.02248281804
233	0.02247269779
234	0.02247263134
235	0.02244014514
236	0.02244012254
237	0.02241898521
238	0.0224189726
239	0.02238784187
240	0.02238783431
241	0.02238783689
242	0.022362959
243	0.02234199046
244	0.02234197086
245	0.02231631526
246	0.02231630774
247	0.02230718417
248	0.02228308764
249	0.02228309338
250	0.02226958491
251	0.0222629028
252	0.02226289093
253	0.02226285022
254	0.02224247836
255	0.02224244264
256	0.02224243579
257	0.02224243121
258	0.02224059964
259	0.02221945677
260	0.02219557729
261	0.02219556686
262	0.02219556146
263	0.02218688859
264	0.02218687543
265	0.02217487286
266	0.02217487021
267	0.02217487197
268	0.0221748609
269	0.02216676142
270	0.0221666746
271	0.02216667193
272	0.02215936171
273	0.02215932777
274	0.02215932777
275	0.02215437004
276	0.02215436917
277	0.02215435847
278	0.0221473474
279	0.02214733143
280	0.02213776606
281	0.02212882494
282	0.02211046283
283	0.02209844299
284	0.02209842643
285	0.02209841707
286	0.02209841395
287	0.02209839507
288	0.02209840011
289	0.02209839223
290	0.02209010962
291	0.02209009208
292	0.0220703853
293	0.02204862946
294	0.02204860239
295	0.02202802187
296	0.02202799619
297	0.02202794618
298	0.02202793493
299	0.02200838093
